Weather_ID,Place_ID,Year,Month_Number,Month_Name,Season,Average_Temperature_C,Minimum_Temperature_C,Maximum_Temperature_C,Humidity_Percentage,Rainfall_mm,Wind_Speed_kmph,Weather_Condition,Air_Quality_Index,UV_Index,Visibility_KM,Sunrise_Time,Sunset_Time,Tourism_Suitability,Weather_Warning,Created_Date,Updated_Date
WT000415,MP035,2024,7,July,Monsoon,25.6,16.9,31.9,90,243.7,9.4,Windy,90,6,3,06:03 Ayuk,05:08 Nungthil,Poor,Flood Warning,22-08-2023,12-10-2025
WT000584,MP049,2025,8,August,Monsoon,27.4,16.1,32.3,82,219.1,9.5,Cloudy,74,8,10.4,05:55 Ayuk,07:59 Nungthil,Poor,Flood Warning,09-12-2025,13-12-2026
WT000189,MP016,2025,9,September,Monsoon,24.5,15.4,29.4,83,163.4,7.2,Heavy Rain,54,9,2.6,05:16 Ayuk,07:43 Nungthil,Poor,No,15-10-2023,15-12-2026
WT000745,MP063,2024,1,January,Winter,14.6,7.5,22.3,66,13,5.2,Clear,58,9,11,05:52 Ayuk,06:51 Nungthil,Excellent,No,01-11-2023,11-12-2025
WT000068,MP006,2024,8,August,Monsoon,26.5,16.6,30.9,88,224.1,8,Rainy,91,6,6.6,05:11 Ayuk,05:29 Nungthil,Poor,Flood Warning,25-07-2023,10-05-2026
WT000760,MP064,2025,4,April,Spring,24.1,14.3,30.2,61,55.6,5.9,Foggy,128,3,4.2,06:42 Ayuk,06:37 Nungthil,Good,No,18-06-2023,08-05-2026
WT000331,MP028,2023,7,July,Monsoon,26.9,16,33.2,77,251.1,8.3,Foggy,131,3,8.1,04:46 Ayuk,06:29 Nungthil,Poor,Flood Warning,02-03-2023,06-09-2025
WT000300,MP025,2025,12,December,Winter,13.6,7.3,20.4,60,0,3.2,Windy,126,6,6,06:13 Ayuk,07:50 Nungthil,Excellent,No,13-08-2025,20-04-2026
WT000629,MP053,2025,5,May,Summer,27,14.5,33,62,67.1,6.2,Clear,147,8,5.6,05:04 Ayuk,07:57 Nungthil,Moderate,No,24-11-2025,17-03-2026
WT000314,MP027,2024,2,February,Winter,16,9.1,25.2,66,33.5,7.6,Partly Cloudy,128,10,2.2,04:49 Ayuk,05:21 Nungthil,Excellent,No,04-12-2025,04-10-2025
WT000357,MP030,2023,9,September,Monsoon,25,13.6,29.7,71,90.7,6.5,Cloudy,59,7,11.5,04:24 Ayuk,05:47 Nungthil,Moderate,No,21-02-2023,20-05-2025
WT000399,MP034,2025,3,March,Spring,20.6,10.8,28.2,64,2.8,7.3,Partly Cloudy,123,5,4.7,05:16 Ayuk,06:00 Nungthil,Good,No,10-04-2024,16-04-2025
WT000518,MP044,2023,2,February,Winter,16.1,7.6,23.9,57,42,4.9,Heavy Rain,80,8,10.6,04:02 Ayuk,07:58 Nungthil,Excellent,No,02-03-2024,16-09-2025
WT000793,MP067,2025,1,January,Winter,14.2,8,21.6,62,22.2,8.8,Rainy,136,6,9,05:51 Ayuk,07:36 Nungthil,Excellent,No,12-01-2024,03-10-2025
WT000065,MP006,2023,5,May,Summer,27.2,16.2,34.5,76,91.7,8.2,Windy,150,3,9.6,05:02 Ayuk,05:18 Nungthil,Moderate,No,17-10-2024,25-09-2026
WT000363,MP031,2024,3,March,Spring,20.5,10.3,27.7,54,64.3,6,Cloudy,91,5,4.1,05:28 Ayuk,05:14 Nungthil,Good,No,16-04-2025,04-04-2026
WT000372,MP031,2023,12,December,Winter,15.4,5.5,19.7,70,30.6,3.4,Foggy,122,5,8.5,04:13 Ayuk,06:21 Nungthil,Excellent,No,15-12-2024,17-12-2025
WT000653,MP055,2025,5,May,Summer,25.4,16.9,34.3,71,54.4,5.5,Heavy Rain,71,3,2.2,04:52 Ayuk,07:44 Nungthil,Moderate,No,25-04-2025,08-10-2026
WT000528,MP044,2024,12,December,Winter,13.2,6.6,19.6,79,8.1,6,Heavy Rain,98,9,7.7,05:01 Ayuk,06:48 Nungthil,Excellent,No,09-06-2023,06-02-2025
WT000753,MP063,2024,9,September,Monsoon,25.9,14,28.9,80,97.8,6.5,Sunny,138,9,4.1,06:34 Ayuk,06:00 Nungthil,Moderate,No,06-05-2023,23-06-2026
WT000426,MP036,2025,6,June,Summer,27.4,18.1,34.5,69,134.3,9.5,Sunny,118,5,3.3,06:06 Ayuk,05:51 Nungthil,Moderate,No,07-10-2025,24-08-2025
WT000046,MP004,2023,10,October,Autumn,20.6,12.6,27.4,72,31.8,6,Windy,134,9,6,04:29 Ayuk,05:01 Nungthil,Good,No,12-02-2025,24-06-2025
WT000126,MP011,2024,6,June,Summer,26.8,18.3,34,73,133.5,9.1,Foggy,112,8,2.4,05:56 Ayuk,05:19 Nungthil,Moderate,No,16-06-2025,21-12-2026
WT000214,MP018,2023,10,October,Autumn,22.5,13.2,27.6,71,47.4,6,Foggy,54,5,9.8,04:20 Ayuk,07:47 Nungthil,Good,No,02-09-2023,20-12-2026
WT000162,MP014,2025,6,June,Summer,26.8,19.3,33.9,83,186.7,8.5,Cloudy,64,9,7.9,06:09 Ayuk,06:34 Nungthil,Moderate,Flood Warning,13-07-2023,18-06-2026
WT000529,MP045,2023,1,January,Winter,14.5,7.3,21.7,69,30,8.7,Sunny,68,3,2.1,04:00 Ayuk,05:31 Nungthil,Excellent,No,10-08-2025,17-12-2025
WT000722,MP061,2025,2,February,Winter,14.9,9.5,25,65,27.2,7.4,Sunny,141,6,6.2,05:55 Ayuk,06:59 Nungthil,Excellent,No,14-06-2023,05-02-2026
WT000513,MP043,2025,9,September,Monsoon,26.2,14.3,29.4,77,128.8,7.4,Sunny,137,9,8.5,04:12 Ayuk,05:51 Nungthil,Poor,No,07-07-2025,15-02-2026
WT000371,MP031,2023,11,November,Autumn,16.9,11,25.2,73,44.1,4.9,Heavy Rain,149,6,7.6,06:08 Ayuk,07:20 Nungthil,Good,No,25-07-2024,24-08-2026
WT000323,MP027,2024,11,November,Autumn,16.9,10.4,24.2,67,41.5,2.1,Partly Cloudy,72,4,9.1,05:12 Ayuk,07:42 Nungthil,Good,No,25-08-2025,13-10-2025
WT000286,MP024,2025,10,October,Autumn,22.1,12.4,29.2,65,40.2,3.7,Partly Cloudy,81,6,11,05:52 Ayuk,07:10 Nungthil,Good,No,08-03-2024,08-10-2026
WT000220,MP019,2023,4,April,Spring,21.8,12.5,31.2,54,23.4,5.5,Heavy Rain,91,4,3.7,05:08 Ayuk,07:40 Nungthil,Good,No,03-11-2023,08-12-2025
WT000606,MP051,2025,6,June,Summer,27.4,17.9,34.5,77,170.4,8.1,Partly Cloudy,109,9,9,05:34 Ayuk,05:40 Nungthil,Moderate,No,25-08-2024,09-04-2026
WT000240,MP020,2024,12,December,Winter,15.4,8.4,21.2,78,0,3.6,Heavy Rain,88,7,5.4,04:18 Ayuk,07:51 Nungthil,Excellent,No,05-08-2024,14-08-2025
WT000397,MP034,2023,1,January,Winter,15.7,7.9,21.6,71,20.9,8.1,Heavy Rain,63,7,4.5,05:15 Ayuk,05:59 Nungthil,Excellent,No,09-12-2023,24-02-2025
WT000522,MP044,2025,6,June,Summer,25.5,18.8,32.8,84,178.1,9.8,Heavy Rain,62,9,2.9,05:15 Ayuk,05:07 Nungthil,Moderate,Flood Warning,12-12-2024,23-01-2026
WT000139,MP012,2025,7,July,Monsoon,25.1,17.4,31.3,88,256.4,9.6,Clear,90,9,11.8,06:26 Ayuk,07:44 Nungthil,Poor,Flood Warning,19-07-2024,05-12-2026
WT000383,MP032,2025,11,November,Autumn,19.4,9.9,24.5,58,7.3,4.1,Partly Cloudy,98,6,4.4,06:09 Ayuk,07:35 Nungthil,Good,No,25-01-2025,25-03-2026
WT000537,MP045,2025,9,September,Monsoon,25.4,16,29,88,102,8.5,Windy,82,9,5.9,04:12 Ayuk,07:10 Nungthil,Poor,No,21-12-2025,05-12-2026
WT000108,MP009,2024,12,December,Winter,12.7,7.8,22.2,78,53.8,6.6,Heavy Rain,76,4,11.9,06:24 Ayuk,07:25 Nungthil,Excellent,No,03-02-2024,21-09-2026
WT000476,MP040,2025,8,August,Monsoon,26.3,15.7,30.6,80,237.6,9.3,Cloudy,137,8,2.5,05:46 Ayuk,05:14 Nungthil,Poor,Flood Warning,19-02-2025,22-12-2025
WT000754,MP063,2025,10,October,Autumn,21.1,13.5,27.6,64,38.8,6.2,Clear,84,6,5.1,04:06 Ayuk,06:43 Nungthil,Good,No,01-10-2024,25-02-2026
WT000771,MP065,2023,3,March,Spring,19.9,9.7,26.8,50,43.3,7.3,Windy,129,6,7.4,05:15 Ayuk,06:18 Nungthil,Good,No,20-05-2023,10-02-2025
WT000444,MP037,2024,12,December,Winter,13.3,6,20.5,62,0,5.4,Foggy,140,7,10.7,05:27 Ayuk,06:26 Nungthil,Excellent,No,02-06-2025,16-01-2026
WT000354,MP030,2023,6,June,Summer,25.9,16.6,34,83,174.9,7.4,Heavy Rain,98,8,5,05:44 Ayuk,06:53 Nungthil,Moderate,No,13-06-2025,03-12-2025
WT000198,MP017,2023,6,June,Summer,25.7,18.9,32.9,69,164,8.3,Cloudy,103,4,6.7,06:23 Ayuk,07:27 Nungthil,Moderate,No,06-08-2024,13-12-2026
WT000762,MP064,2025,6,June,Summer,26,19,34.4,77,136.3,6.4,Sunny,124,4,10.6,04:12 Ayuk,06:31 Nungthil,Moderate,No,15-02-2024,23-06-2025
WT000453,MP038,2024,9,September,Monsoon,25.5,13.9,30.1,81,118.6,5.3,Clear,95,6,4.3,06:22 Ayuk,06:20 Nungthil,Poor,No,17-04-2024,13-01-2025
WT000474,MP040,2023,6,June,Summer,28.5,18.3,34.9,80,129.7,8,Clear,114,7,8,04:18 Ayuk,05:33 Nungthil,Moderate,No,14-03-2025,13-05-2026
WT000056,MP005,2023,8,August,Monsoon,26,16.4,31.8,95,186.8,6.7,Clear,104,6,7.5,04:15 Ayuk,06:46 Nungthil,Poor,Heavy Rain Alert,16-11-2024,04-11-2026
WT000297,MP025,2024,9,September,Monsoon,25.4,15,29,82,108.3,6.5,Cloudy,52,9,11.4,05:38 Ayuk,06:52 Nungthil,Poor,No,04-04-2024,06-09-2026
WT000043,MP004,2023,7,July,Monsoon,27.3,16.9,32.9,89,243.9,9.4,Rainy,119,10,3,05:02 Ayuk,06:15 Nungthil,Poor,Flood Warning,19-12-2023,05-01-2025
WT000403,MP034,2023,7,July,Monsoon,27.1,18,32.1,88,261,8.8,Foggy,105,5,4.3,05:21 Ayuk,06:17 Nungthil,Poor,Flood Warning,25-06-2023,09-10-2026
WT000163,MP014,2024,7,July,Monsoon,27.3,16.3,31.2,87,242.8,6.7,Clear,88,10,2,06:48 Ayuk,07:57 Nungthil,Poor,Flood Warning,21-09-2024,12-08-2026
WT000083,MP007,2023,11,November,Autumn,17.5,9.5,24.9,73,47.8,3.3,Rainy,57,3,10.9,04:31 Ayuk,06:44 Nungthil,Good,No,18-06-2024,19-04-2025
WT000605,MP051,2023,5,May,Summer,25.3,16.6,34,75,45.6,8.4,Sunny,91,5,3.4,06:13 Ayuk,06:16 Nungthil,Moderate,No,04-04-2024,09-09-2026
WT000469,MP040,2025,1,January,Winter,16.3,7.7,22.3,69,17,8.4,Clear,76,5,5.6,05:27 Ayuk,06:26 Nungthil,Excellent,No,13-04-2023,02-07-2026
WT000640,MP054,2023,4,April,Spring,21.6,13.7,31.2,64,49,5,Cloudy,129,5,6.7,06:39 Ayuk,07:32 Nungthil,Good,No,14-09-2024,16-07-2026
WT000044,MP004,2023,8,August,Monsoon,25.4,17.4,30.5,92,181.5,6.3,Partly Cloudy,96,9,10.5,05:34 Ayuk,05:13 Nungthil,Poor,Flood Warning,06-07-2023,25-03-2025
WT000360,MP030,2023,12,December,Winter,13.1,7.4,21.1,61,52.9,6.1,Foggy,106,10,4.7,04:14 Ayuk,07:01 Nungthil,Excellent,No,17-09-2025,01-02-2025
WT000556,MP047,2023,4,April,Spring,22.3,14.7,32.2,56,16,4.8,Clear,120,6,10.5,06:27 Ayuk,07:08 Nungthil,Good,No,12-05-2024,19-03-2026
WT000800,MP067,2024,8,August,Monsoon,27.2,15.4,31.7,82,178.5,6.6,Heavy Rain,106,5,4.4,06:44 Ayuk,06:18 Nungthil,Poor,Flood Warning,16-03-2023,18-06-2025
WT000039,MP004,2024,3,March,Spring,20,10.8,28.9,60,18.9,7.6,Heavy Rain,124,6,9.3,04:34 Ayuk,06:45 Nungthil,Good,No,03-09-2023,17-11-2026
WT000632,MP053,2024,8,August,Monsoon,27.3,15.5,30.3,89,193.9,7.4,Windy,51,10,10.6,05:05 Ayuk,06:24 Nungthil,Poor,Heavy Rain Alert,25-08-2025,12-07-2025
WT000608,MP051,2025,8,August,Monsoon,25.1,17,32.4,89,174.3,8.2,Rainy,148,8,7.8,04:56 Ayuk,07:33 Nungthil,Poor,Flood Warning,05-06-2025,05-04-2025
WT000078,MP007,2023,6,June,Summer,27.2,18.2,34.2,86,161.4,9,Foggy,83,9,9,04:09 Ayuk,07:47 Nungthil,Moderate,Flood Warning,22-09-2025,07-01-2026
WT000691,MP058,2024,7,July,Monsoon,25,18,31,80,209.4,8.1,Foggy,89,3,4.5,06:56 Ayuk,06:29 Nungthil,Poor,Flood Warning,15-03-2023,03-01-2025
WT000473,MP040,2025,5,May,Summer,25.9,15.5,32.7,71,53.9,6.7,Foggy,125,8,9.7,04:09 Ayuk,06:56 Nungthil,Moderate,No,15-03-2024,18-11-2026
WT000843,MP021,2023,1,January,Winter,16,7,20.6,59,27.3,7.7,Foggy,100,5,10,06:55 Ayuk,07:16 Nungthil,Excellent,No,02-07-2025,22-08-2026
WT000598,MP050,2024,10,October,Autumn,22.7,11.8,26.9,65,35.6,5,Heavy Rain,134,3,6.4,06:41 Ayuk,07:43 Nungthil,Good,No,05-07-2023,22-07-2026
WT000717,MP060,2025,9,September,Monsoon,25,14,30.6,72,150.1,8.6,Windy,102,9,2.9,05:30 Ayuk,06:39 Nungthil,Poor,No,08-10-2025,25-04-2025
WT000114,MP010,2023,6,June,Summer,25.9,19.3,33.6,76,186.8,6.6,Sunny,60,5,9.8,06:30 Ayuk,06:45 Nungthil,Moderate,No,08-11-2025,16-07-2026
WT000729,MP061,2024,9,September,Monsoon,23.9,16.5,28.9,83,159.2,8.6,Rainy,132,6,4.6,04:01 Ayuk,06:10 Nungthil,Poor,No,16-04-2023,03-03-2025
WT000071,MP006,2025,11,November,Autumn,19.3,10.5,25.8,58,26.9,2.1,Windy,134,10,2.2,04:09 Ayuk,07:16 Nungthil,Good,No,17-07-2023,15-12-2025
WT000067,MP006,2023,7,July,Monsoon,27.7,17.7,33.1,90,216.6,9.2,Foggy,124,4,10.1,05:55 Ayuk,05:38 Nungthil,Poor,Flood Warning,09-08-2024,19-02-2025
WT000492,MP041,2023,12,December,Winter,13.6,8.5,20.1,61,52,6.7,Clear,89,6,9.6,04:36 Ayuk,05:40 Nungthil,Excellent,No,19-08-2024,01-05-2025
WT000796,MP067,2025,4,April,Spring,22.1,14.7,31.6,61,69.8,5.6,Heavy Rain,130,3,10.1,04:57 Ayuk,06:38 Nungthil,Good,No,14-04-2025,13-06-2026
WT000322,MP027,2023,10,October,Autumn,23,14.1,27.7,74,12.5,6.5,Foggy,141,9,7.6,04:27 Ayuk,05:04 Nungthil,Good,No,04-02-2023,17-12-2025
WT000329,MP028,2024,5,May,Summer,24.9,16.5,33.2,73,48.6,6.6,Windy,100,3,7.4,05:37 Ayuk,06:44 Nungthil,Moderate,No,14-03-2025,02-07-2026
WT000029,MP003,2023,5,May,Summer,26.9,15.8,31.9,75,82.4,6.8,Heavy Rain,102,9,6.1,06:50 Ayuk,05:23 Nungthil,Moderate,No,25-12-2025,21-05-2025
WT000743,MP062,2025,11,November,Autumn,17,10.7,24.8,62,0,5.5,Windy,76,5,11.6,06:20 Ayuk,07:17 Nungthil,Good,No,22-05-2024,03-08-2026
WT000670,MP056,2024,10,October,Autumn,23.5,12.1,28,66,66.2,3.2,Foggy,94,7,8,04:58 Ayuk,05:38 Nungthil,Good,No,11-12-2024,14-06-2026
WT000284,MP024,2023,8,August,Monsoon,26.6,15.3,32.3,91,190,8.8,Sunny,149,8,8.3,04:59 Ayuk,07:31 Nungthil,Poor,No,21-05-2023,21-12-2026
WT000231,MP020,2023,3,March,Spring,20.4,10.7,27.3,54,13.9,7.4,Rainy,111,5,3.7,05:49 Ayuk,07:15 Nungthil,Good,No,16-03-2024,04-06-2025
WT000194,MP017,2023,2,February,Winter,15.8,9.1,23.4,65,52.4,4.5,Partly Cloudy,103,4,5.4,04:45 Ayuk,07:51 Nungthil,Excellent,No,05-05-2023,22-12-2025
WT000459,MP039,2025,3,March,Spring,19.6,10.7,29.4,60,0.1,5.1,Clear,80,6,8.4,05:30 Ayuk,05:01 Nungthil,Good,No,15-01-2024,21-07-2025
WT000082,MP007,2024,10,October,Autumn,23.2,12.7,27,79,27.4,3.5,Rainy,97,5,11.8,04:48 Ayuk,07:02 Nungthil,Good,No,23-05-2024,05-01-2025
WT000489,MP041,2025,9,September,Monsoon,26.1,14.9,30.2,85,133.2,6.8,Sunny,117,9,10.8,05:11 Ayuk,06:04 Nungthil,Poor,No,07-09-2023,11-01-2026
WT000271,MP023,2025,7,July,Monsoon,27.2,17.2,31.1,87,254.5,7.7,Cloudy,115,4,3.2,04:14 Ayuk,07:01 Nungthil,Poor,Flood Warning,10-12-2025,01-03-2025
WT000651,MP055,2023,3,March,Spring,21.4,11.8,29.3,52,54.8,6.5,Heavy Rain,150,9,8.6,04:53 Ayuk,07:11 Nungthil,Good,No,07-06-2025,10-11-2026
WT000662,MP056,2023,2,February,Winter,15.2,9.3,24.4,73,48,4.3,Partly Cloudy,124,5,9.6,06:00 Ayuk,06:38 Nungthil,Excellent,No,24-11-2025,25-09-2026
WT000072,MP006,2024,12,December,Winter,12.7,7.1,21.6,77,10.4,4.2,Sunny,58,7,10.5,05:10 Ayuk,07:33 Nungthil,Excellent,No,21-05-2025,20-05-2026
WT000822,MP069,2023,6,June,Summer,27.7,17.1,33.2,79,164.2,9.2,Heavy Rain,98,10,6.2,05:44 Ayuk,07:25 Nungthil,Moderate,No,13-05-2024,01-09-2025
WT000015,MP002,2023,3,Marchh,Spring,19.4,10.8,29.1,51,33,5.3,Rainy,56,3,4.1,04:45 Ayuk,06:13 Nungthil,Good,No,14-08-2024,08-03-2025
WT000317,MP027,2023,5,May,Summer,25.2,15.2,33.1,68,64.7,5.1,Clear,61,7,10.6,04:46 Ayuk,06:44 Nungthil,Moderate,No,12-10-2024,09-06-2025
WT000002,MP001,2025,2,February,Winter,17.3,7.7,23.1,59,32.4,4.7,Clear,81,7,5.4,05:31 Ayuk,06:48 Nungthil,Excellent,No,11-05-2025,15-06-2025
WT000259,MP022,2024,7,July,Monsoon,27.9,17.4,31.9,85,267.4,8.9,Rainy,62,7,7.1,05:01 Ayuk,05:19 Nungthil,Poor,Flood Warning,07-09-2025,22-07-2026
WT000341,MP029,2024,5,May,Summer,24.6,17.1,33.3,62,90.5,6.3,Heavy Rain,68,5,9.1,05:48 Ayuk,05:51 Nungthil,Moderate,No,10-06-2025,03-08-2026
WT000456,MP038,2023,12,December,Winter,13.8,7.4,20.9,71,16.7,3.2,Windy,79,8,9.5,06:05 Ayuk,07:12 Nungthil,Excellent,No,18-03-2025,24-12-2026
WT000778,MP065,2025,10,October,Autumn,21.8,14.1,27.3,72,71.4,6.5,Cloudy,107,9,10.7,05:22 Ayuk,05:42 Nungthil,Good,No,24-10-2025,13-07-2026
WT000679,MP057,2023,7,July,Monsoon,27.9,16.7,32.9,88,260.7,7.4,Windy,124,6,9.7,05:37 Ayuk,05:41 Nungthil,Poor,Flood Warning,08-06-2023,10-06-2025
WT000249,MP021,2023,9,September,Monsoon,25.5,16.4,30.4,81,162.3,6.9,Cloudy,91,3,9.3,06:38 Ayuk,05:43 Nungthil,Poor,No,22-12-2024,24-01-2025
WT000672,MP056,2023,12,December,Winter,12.7,6.2,19.8,72,44.5,6,Windy,149,7,11.5,05:35 Ayuk,05:35 Nungthil,Excellent,No,11-11-2025,11-07-2026
WT000210,MP018,2024,6,June,Summer,27.5,17.8,32.8,83,166.6,8.9,Clear,115,5,9.8,04:45 Ayuk,06:17 Nungthil,Moderate,Flood Warning,09-03-2023,21-12-2025
WT000655,MP055,2025,7,July,Monsoon,27.7,17.9,33.3,93,252.6,8.3,Rainy,135,7,9.7,05:37 Ayuk,07:45 Nungthil,Poor,Flood Warning,07-01-2023,07-05-2025
WT000792,MP066,2024,12,December,Winter,13.9,6.8,21.7,61,0,3.5,Partly Cloudy,120,10,7.3,05:42 Ayuk,05:10 Nungthil,Excellent,No,14-10-2024,14-02-2025
WT000234,MP020,2025,6,June,Summer,28.2,16.7,34,82,184.8,8.1,Cloudy,105,6,10.5,05:22 Ayuk,06:37 Nungthil,Moderate,No,10-08-2025,04-12-2026
WT000080,MP007,2023,8,August,Monsoon,25.3,16.6,31.1,92,178.4,7,Sunny,86,3,7.5,04:19 Ayuk,06:54 Nungthil,Poor,Heavy Rain Alert,20-09-2024,22-07-2026
WT000149,MP013,2024,5,May,Summer,27.4,16.8,33.2,62,37,7.6,Partly Cloudy,99,7,5.5,05:14 Ayuk,06:16 Nungthil,Moderate,No,15-07-2023,19-02-2026
WT000524,MP044,2023,8,August,Monsoon,26.9,17.4,31.1,79,225.3,6.3,Heavy Rain,72,10,3.1,06:01 Ayuk,06:21 Nungthil,Poor,Flood Warning,19-05-2023,20-04-2026
WT000424,MP036,2023,4,April,Spring,22.3,13.4,32.4,52,58,4.6,Heavy Rain,147,10,6.8,05:35 Ayuk,06:47 Nungthil,Good,No,17-01-2024,09-08-2026
WT000359,MP030,2025,11,November,Autumn,17.2,11,24.8,66,30.9,4.7,Rainy,84,10,5.4,06:01 Ayuk,06:14 Nungthil,Good,No,14-02-2025,04-11-2026
WT000267,MP023,2024,3,March,Spring,19.5,10.8,27.4,60,47.5,7.6,Cloudy,70,7,2.9,06:50 Ayuk,06:07 Nungthil,Good,No,11-09-2024,01-10-2025
WT000413,MP035,2024,5,May,Summer,24.8,14.9,32.2,64,39.6,8.1,Windy,90,3,10.6,06:29 Ayuk,05:10 Nungthil,Moderate,No,09-12-2025,24-01-2025
WT000211,MP018,2025,7,July,Monsoon,26.1,16.7,33.1,79,264.2,9.8,Partly Cloudy,113,7,3.8,06:45 Ayuk,05:08 Nungthil,Poor,Flood Warning,07-11-2023,04-11-2026
WT000124,MP011,2024,4,April,Spring,21.8,14.2,31.2,58,9.5,4.1,Cloudy,130,7,3.2,05:48 Ayuk,06:33 Nungthil,Good,No,25-01-2023,24-01-2025
WT000324,MP027,2024,12,December,Winter,14.9,5.5,22.2,66,52.8,6.6,Heavy Rain,105,3,5.7,06:13 Ayuk,06:44 Nungthil,Excellent,No,03-02-2023,24-02-2025
WT000285,MP024,2024,9,September,Monsoon,24.8,14.5,29.2,88,153.4,6.3,Windy,51,7,3.6,04:02 Ayuk,05:24 Nungthil,Poor,No,09-12-2025,12-09-2026
WT000252,MP021,2025,12,December,Winter,15.3,5.5,20.3,71,42.1,5.5,Partly Cloudy,109,5,5.2,04:26 Ayuk,07:34 Nungthil,Excellent,No,08-05-2024,15-10-2026
WT000073,MP007,2023,1,January,Winter,15,8.8,22.9,63,0,7.8,Partly Cloudy,103,9,8,04:05 Ayuk,05:28 Nungthil,Excellent,No,19-04-2023,09-11-2026
WT000412,MP035,2023,4,April,Spring,22.7,14.5,30.4,63,78.7,4.9,Cloudy,76,6,4.7,06:50 Ayuk,05:10 Nungthil,Good,No,01-03-2024,18-12-2025
WT000201,MP017,2023,9,September,Monsoon,26,16.3,29.2,75,151.3,8.2,Partly Cloudy,125,4,8.2,04:40 Ayuk,06:59 Nungthil,Poor,No,14-03-2023,11-03-2026
WT000292,MP025,2025,4,April,Spring,23.3,13.6,30.1,64,72.9,4.1,Clear,78,4,11.4,06:40 Ayuk,05:25 Nungthil,Good,No,01-08-2025,21-06-2025
WT000353,MP030,2024,5,May,Summer,25.7,17.5,32.2,79,60.2,8.9,Sunny,98,10,3.1,05:00 Ayuk,07:43 Nungthil,Moderate,No,16-02-2024,17-06-2025
WT000820,MP069,2023,4,April,Spring,24.4,15.2,30.9,71,21.6,5.5,Cloudy,86,10,9.1,06:47 Ayuk,05:40 Nungthil,Good,No,02-07-2023,24-03-2026
WT000543,MP046,2024,3,March,Spring,20.1,11.1,28.1,63,64.5,6.8,Clear,132,4,3.6,05:06 Ayuk,06:18 Nungthil,Good,No,25-08-2024,15-05-2025
WT000607,MP051,2023,7,July,Monsoon,25.9,16.3,33.1,76,212.1,6.3,Partly Cloudy,73,8,7.9,05:57 Ayuk,06:49 Nungthil,Poor,Flood Warning,03-05-2024,12-12-2025
WT000769,MP065,2023,1,January,Winter,16.3,6.5,22.5,67,0,5.4,Windy,73,7,3.1,05:01 Ayuk,07:04 Nungthil,Excellent,No,17-12-2025,25-04-2025
WT000497,MP042,2025,5,May,Summer,26.3,16.1,33.4,61,93.2,7.2,Sunny,86,9,9.3,06:34 Ayuk,06:51 Nungthil,Moderate,No,02-05-2025,04-07-2025
WT000396,MP033,2024,12,December,Winter,14.5,6.2,20.1,73,5.6,5.2,Windy,91,6,11.3,04:01 Ayuk,07:31 Nungthil,Excellent,No,23-07-2024,20-04-2026
WT000626,MP053,2024,2,February,Winter,16.5,9,23.8,66,32.5,7.1,Heavy Rain,127,6,10.9,06:28 Ayuk,06:27 Nungthil,Excellent,No,20-07-2025,23-06-2026
WT000551,MP046,2023,11,November,Autumn,17.8,11.2,24.5,72,55.7,2.7,Sunny,145,10,5.6,05:46 Ayuk,07:18 Nungthil,Good,No,24-09-2024,01-12-2026
WT000178,MP015,2024,10,October,Autumn,21.3,12.3,26.5,63,75.4,3.2,Cloudy,65,3,3.8,06:21 Ayuk,06:30 Nungthil,Good,No,12-03-2024,24-12-2025
WT000470,MP040,2024,2,February,Winter,15.3,9.4,24.7,66,49.1,7.8,Partly Cloudy,102,8,5.6,06:03 Ayuk,05:53 Nungthil,Excellent,No,09-03-2023,07-09-2025
WT000690,MP058,2024,6,June,Summer,28.4,19.3,33.6,68,161.4,6.9,Cloudy,128,10,11.7,04:05 Ayuk,07:43 Nungthil,Moderate,Heavy Rain Alert,04-01-2025,08-12-2026
WT000191,MP016,2023,11,November,Autumn,16.7,10.8,25.7,60,48.9,2.1,Sunny,101,8,11.1,04:51 Ayuk,05:52 Nungthil,Good,No,06-07-2024,20-11-2026
WT000410,MP035,2025,2,February,Winter,16.6,8.3,23.9,63,48.8,7.4,Windy,137,3,3.1,04:07 Ayuk,07:15 Nungthil,Excellent,No,21-09-2023,25-10-2026
WT000634,MP053,2023,10,October,Autumn,21.4,11.9,28.8,77,66.1,3,Clear,131,5,4.2,04:24 Ayuk,06:15 Nungthil,Good,No,16-04-2025,10-08-2025
WT000809,MP068,2025,5,May,Summer,27,14.9,32.6,61,112.7,6.4,Rainy,129,5,6.4,06:39 Ayuk,06:23 Nungthil,Moderate,No,13-10-2025,05-06-2025
WT000229,MP020,2023,1,January,Winter,16.4,8.3,21.3,75,42.8,6.6,Clear,123,6,5.8,04:16 Ayuk,05:36 Nungthil,Excellent,No,22-02-2025,16-10-2026
WT000515,MP043,2025,11,November ,Autumn,18.3,10.5,25,62,36,2.5,Sunny ,99,6,8.5,05:00 Ayuk,06:54 Nungthil,Good,No,16-12-2023,08-03-2026
WT000759,MP064,2023,3,March,Spring,21.4,12,28,67,0,6,Sunny,93,8,2.8,04:23 Ayuk,07:48 Nungthil,Good,No,03-03-2024,13-04-2026
WT000838,MP070,2023,10,October,Autumn,22.8,12.6,28.4,71,55,5.3,Heavy Rain,65,8,8.5,04:20 Ayuk,05:24 Nungthil,Good,No,19-05-2023,23-07-2026
