Record_ID,Place_ID,Year,Month_Number,Month_Name,Season,Domestic_Visitors,Foreign_Visitors,Total_Visitors,Male_Visitors,Female_Visitors,Children_Visitors,Senior_Citizen_Visitors,Student_Visitors,Group_Visitors,Solo_Visitors,Average_Visit_Duration_Hours,Average_Spending_INR,Weather_Condition,Special_Event,Festival_Season,Visitor_Satisfaction,Revenue_INR,Growth_Percentage,Remarks,Created_Date,Updated_Date
VS000264,MP022,2024,12,December,Winter,12268,1440,13708,7532,6176,1423,803,1180,4568,9140,2.5,1002.37,Windy,Yes,No,4.9,13740487.96,13.5,New Year Rush,23-09-2023,04-08-2025
VS000265,MP023,2025,1,January,Winter,14468,674,15142,7978,7164,923,1070,2124,5908,9234,3.1,427.71,Clear,Yes,No,4.2,6476384.82,-15.7,Peak Season,25-12-2024,08-02-2025
VS000266,MP023,2023,2,February,Winter,15305,660,15965,8044,7921,1533,1066,1882,4955,11010,1.7,629.79,Windy,No,No,4.5,10054597.35,12.8,Peak Season,09-09-2025,05-09-2025
VS000267,MP023,2024,3,March,Spring,9438,222,9660,4741,4919,653,927,1029,2941,6719,5.3,1178.67,Sunny,No,No,4.4,11385952.2,-10.7,Weekend Rush,08-02-2023,07-05-2025
VS000268,MP023,2024,4,April,Spring,9647,1351,10998,5921,5077,1034,712,1569,3199,7799,3.4,912.75,Sunny,No,Yes,4.9,10038424.5,29.5,Holiday Rush,19-03-2025,19-10-2025
VS000269,MP023,2025,5,May,Summer,6545,137,6682,3066,3616,558,476,898,1768,4914,3.9,781.72,Clear,Yes,No,4.6,5223453.04,1.7,Holiday Rush,19-07-2023,15-02-2025
VS000270,MP023,2023,6,June,Summer,6286,812,7098,3371,3727,576,397,571,2400,4698,1.5,1159.22,Foggy,No,No,4.2,8228143.56,-5.7,Festival Crowd,05-08-2023,25-02-2025
VS000271,MP023,2024,7,July,Monsoon,5179,622,5801,3032,2769,693,276,758,1993,3808,4,649.98,Cloudy,Yes,No,4.3,3770533.98,-19,Rain Affected,15-07-2025,01-03-2025
VS000272,MP023,2025,8,August,Monsoon,4900,165,5065,2471,2594,323,358,736,1607,3458,4.7,558.83,Foggy,No,No,4.7,2830473.95,4.2,Heavy Rain,23-02-2025,25-03-2025
VS000273,MP023,2025,9,September,Monsoon,6580,975,7555,3547,4008,716,612,639,1976,5579,1.6,1018.81,Clear,No,No,4.1,7697109.55,-18.6,Peak Season,02-11-2024,15-11-2025
VS000274,MP023,2025,10,October,Autumn,11968,832,12800,6844,5956,1457,605,1303,4318,8482,4.8,740.27,Foggy,Yes,Yes,4.2,9475456,23.8,Weekend Rush,08-06-2023,19-08-2025
VS000275,MP023,2025,11,November,Autumn,13912,1415,15327,7558,7769,1789,1386,1837,4997,10330,4.2,1062.62,Windy,No,Yes,4.7,16286776.74,-5,Holiday Rush,19-06-2025,06-05-2025
VS000276,MP023,2023,12,December,Winter,16631,1804,18435,8861,9574,2048,1059,2042,6801,11634,5.5,859.6,Cloudy,Yes,No,4.3,15846726,30.8,Winter Vacation,22-07-2024,18-04-2025
VS000277,MP024,2025,1,January,Winter,14896,836,15732,8630,7102,1456,1496,1696,5406,10326,3.8,995.41,Foggy,No,No,4.2,15659790.12,-12.8,Winter Vacation,06-08-2023,17-01-2025
VS000278,MP024,2025,2,February,Winter,14465,565,15030,7252,7778,1580,1036,1784,5486,9544,6,596.32,Sunny,Yes,No,4,8962689.6,3.7,Peak Season,04-05-2023,13-02-2025
VS000279,MP024,2023,3,March,Spring,9236,397,9633,4496,5137,887,468,1093,2542,7091,3.9,1160.87,Sunny,No,Yes,3.9,11182660.71,-15.6,Normal Traffic,13-09-2023,16-10-2025
VS000280,MP024,2025,4,April,Spring,9210,1100,10310,5003,5307,569,494,1250,3070,7240,2,912.28,Cloudy,No,Yes,3.9,9405606.8,10.4,Off Season,02-12-2025,06-04-2025
VS000281,MP024,2025,5,May,Summer,7919,1057,8976,4884,4092,786,414,734,2646,6330,5.2,636.19,Rainy,No,No,4,5710441.44,0.9,Rain Affected,13-03-2023,21-07-2025
VS000282,MP024,2025,6,June,Summer,6914,574,7488,4095,3393,691,741,1117,2124,5364,1.6,1053.43,Sunny,Yes,No,4.3,7888083.84,17.4,Weekend Rush,09-09-2024,09-11-2025
VS000283,MP024,2025,7,July,Monsoon,5917,298,6215,3344,2871,695,275,730,2239,3976,2.4,616.32,Windy,No,No,4.6,3830428.8,30.2,Rain Affected,07-10-2024,16-04-2025
VS000284,MP024,2023,8,August,Monsoon,4631,431,5062,2709,2353,386,357,737,1922,3140,3.7,732.14,Cloudy,Yes,No,4.3,3706092.68,14.3,Monsoon Season,10-01-2023,07-04-2025
VS000285,MP024,2024,9,September,Monsoon,5674,517,6191,2898,3293,644,569,909,1610,4581,3.3,485.03,Foggy,No,No,4.2,3002820.73,14.8,Rain Affected,17-04-2024,19-11-2025
VS000286,MP024,2024,10,October,Autumn,11778,1646,13424,6227,7197,1452,1079,1625,5369,8055,3.1,1026.64,Rainy,Yes,No,4.6,13781615.36,-7.8,Off Season,18-09-2023,01-08-2025
VS000287,MP024,2023,11,November,Autumn,14123,1501,15624,7264,8360,1015,817,1459,5876,9748,5.1,492.64,Sunny,No,Yes,4.7,7697007.36,-8.1,Off Season,19-11-2023,18-02-2025
VS000288,MP024,2025,12,December,Winter,13268,458,13726,6369,7357,947,1190,1539,4025,9701,4.5,457.58,Cloudy,No,No,4.6,6280743.08,-13.6,Winter Vacation,20-02-2025,12-01-2025
VS000289,MP025,2024,1,January,Winter,13707,689,14396,6890,7506,1214,868,1553,3942,10454,4.7,409.83,Sunny,No,No,4,5899912.68,18.1,Peak Season,22-09-2024,20-06-2025
VS000290,MP025,2025,2,February,Winter,12561,295,12856,5937,6919,1205,1247,1728,4848,8008,5.9,1024.93,Foggy,No,No,4.6,13176500.08,17.4,Rain Affected,03-11-2023,19-01-2025
VS000291,MP025,2023,3,March,Spring,11953,841,12794,5910,6884,1217,1021,1206,4110,8684,4.2,1121.36,Sunny,No,No,4.2,14346679.84,23.5,Normal Traffic,16-03-2025,24-09-2025
VS000292,MP025,2024,4,April,Spring,11006,355,11361,5308,6053,772,841,1381,4306,7055,3.7,560.13,Windy,No,No,4,6363636.93,14.3,Off Season,18-08-2025,19-06-2025
VS000293,MP025,2024,5,May,Summer,6016,136,6152,3200,2952,682,538,722,2091,4061,3.5,889.84,Foggy,No,No,4.1,5474295.68,34.8,Weekend Rush,12-04-2023,18-06-2025
VS000294,MP025,2025,6,June,Summer,7037,722,7759,3959,3800,484,392,644,2779,4980,5.2,618.73,Rainy,No,No,4.7,4800726.07,-19.3,Rain Affected,01-05-2023,03-09-2025
VS000295,MP025,2024,7,July,Monsoon,4132,568,4700,2510,2190,435,191,648,1711,2989,2.9,1198.67,Rainy,Yes,No,4.9,5633749,17.2,Rain Affected,23-10-2023,17-04-2025
VS000296,MP025,2023,8,August,Monsoon,5890,372,6262,2937,3325,705,433,851,1699,4563,3.6,834,Cloudy,Yes,No,4.4,5222508,-18.8,Heavy Rain,14-01-2024,22-06-2025
VS000297,MP025,2024,9,September,Monsoon,6814,573,7387,3889,3498,552,511,1000,2036,5351,5.7,898.34,Clear,Yes,No,4.4,6636037.58,25,Off Season,24-04-2025,04-01-2025
VS000298,MP025,2025,10,October,Autumn,11065,1475,12540,5939,6601,1182,1027,1589,4928,7612,2.5,955.11,Windy,No,No,4,11977079.4,32.9,Normal Traffic,21-08-2025,02-04-2025
VS000299,MP025,2023,11,November,Autumn,9644,887,10531,5114,5417,1163,638,864,2637,7894,2.9,860.64,Rainy,No,No,4.5,9063399.84,3.9,Holiday Rush,14-10-2023,19-04-2025
VS000300,MP025,2023,12,December,Winter,15568,1296,16864,8623,8241,1241,958,1886,6573,10291,5.8,436.18,Sunny,No,No,4.3,7355739.52,21.6,Winter Vacation,04-07-2024,17-11-2025
VS000301,MP026,2024,1,January,Winter,13398,1991,15389,8419,6970,848,1298,1662,5149,10240,4.7,892.15,Foggy,No,No,4.2,13729296.35,29.2,Winter Vacation,10-07-2024,02-12-2025
VS000302,MP026,2024,2,February,Winter,11030,221,11251,5585,5666,999,832,1224,3006,8245,2.5,699.65,Windy,Yes,No,4.2,7871762.15,-3.7,Peak Season,07-08-2025,04-06-2025
VS000303,MP026,2024,3,March,Spring,11341,904,12245,6190,6055,1176,563,1520,4632,7613,3.2,1048.94,Clear,No,No,4.2,12844270.3,23.7,Normal Traffic,19-11-2024,09-05-2025
VS000304,MP026,2025,4,April,Spring,11797,1591,13388,6137,7251,1044,697,1659,3700,9688,5.6,934.87,Sunny,Yes,Yes,4.1,12516039.56,-7.9,Peak Season,17-10-2025,14-08-2025
VS000305,MP026,2024,5,May,Summer,7862,1129,8991,4302,4689,1044,458,1053,3329,5662,2.3,403.22,Rainy,No,No,4.3,3625351.02,-6.8,Festival Crowd,22-05-2025,21-08-2025
VS000306,MP026,2025,6,June,Summer,6770,722,7492,4119,3373,628,405,754,2667,4825,3,952.38,Windy,Yes,No,4.3,7135230.96,25.8,Weekend Rush,24-11-2023,25-05-2025
VS000307,MP026,2023,7,July,Monsoon,5426,297,5723,3139,2584,387,298,757,1701,4022,4.5,747.29,,No,No,4.8,4276740.67,10.9,Monsoon Season,24-10-2025,24-12-2025
VS000308,MP026,2024,8,August,Monsoon,5263,146,5409,2876,2533,452,454,758,2124,3285,1.6,1082.91,Foggy,No,No,3.9,5857460.19,-13.2,Heavy Rain,07-04-2023,18-07-2025
VS000309,MP026,2025,9,September,Monsoon,6398,555,6953,3736,3217,761,294,922,1839,5114,1.8,467.19,Clear,Yes,No,4.8,3248372.07,33.9,Weekend Rush,21-12-2025,11-08-2025
VS000310,MP026,2025,10,Octauryober,Autumn,10886,650,11536,5288,6248,1350,500,1612,3100,8436,2.4,668.41,Rainy,No,Yes,4.2,7710777.76,8.8,Festival Crowd,23-06-2023,02-07-2025
VS000311,MP026,2025,11,November,Autumn,13162,1851,15013,8033,6980,1694,1393,1930,4284,10729,3.8,796.07,Clear,Yes,No,3.9,11951398.91,17.1,Weekend Rush,20-09-2025,20-09-2025
VS000312,MP026,2024,12,December,Winter,17805,1840,19645,9089,10556,2324,1385,1628,6439,13206,2.8,910.53,Clear,Yes,No,3.8,17887361.85,21.7,Peak Season,11-10-2023,14-01-2025
VS000313,MP027,2023,1,January,Winter,16369,723,17092,7788,9304,1745,1498,2163,4626,12466,3.4,1023.37,Cloudy,Yes,No,4.7,17491440.04,-11.7,Winter Vacation,05-05-2024,14-03-2025
VS000314,MP027,2025,2,February,Winter,12378,1471,13849,6529,7320,1643,780,1753,4616,9233,2.6,461.51,Clear,Yes,No,3.8,6391451.99,8.9,Festival Crowd,01-12-2023,23-11-2025
VS000315,MP027,2025,3,March,Spring,12229,1142,13371,6905,6466,914,1038,1525,5182,8189,4.1,651.38,Foggy,No,No,6.8,8709601.98,13.4,Weekend Rush,15-09-2024,08-05-2025
VS000316,MP027,2023,4,April,Spring,11925,392,12317,6571,5746,1415,611,1410,4322,7995,1.7,1198.43,Sunny,Yes,No,4.8,14761062.31,-8.4,Holiday Rush,25-08-2024,06-11-2025
VS000317,MP027,2023,5,May,Summer,6480,956,7436,3346,4090,448,522,768,2217,5219,5.1,849.49,Rainy,Yes,No,4.6,6316807.64,-5.6,Normal Traffic,19-02-2023,22-10-2025
VS000318,MP027,2024,6,June,Summer,6960,476,7436,3431,4005,646,523,895,2194,5242,4,961.04,Rainy,No,No,4.2,7146293.44,-0.6,Festival Crowd,11-02-2024,21-05-2025
VS000319,MP027,2025,7,July,Monsoon,4694,701,5395,2658,2737,600,284,583,2044,3351,5.5,404.79,Rainy,No,No,4.5,2183842.05,-4.7,Rain Affected,18-10-2025,04-04-2025
VS000320,MP027,2023,8,August,Monsoon,5081,694,5775,2667,3108,689,547,576,2248,3527,3.1,441.08,Cloudy,No,No,4,788502.91,-12.3,Rain Affected,18-12-2025,13-09-2025
VS000321,MP027,2023,9,September,Monsoon,6234,289,6523,3565,2958,487,570,521,2004,4519,4.2,755.1,Sunny,Yes,No,4.4,4925517.3,6.3,Rain Affected,07-02-2025,04-09-2025
VS000322,MP027,2023,10,October,Autumn,8619,415,9034,4130,4904,546,574,1030,3480,5554,4.3,1128,Sunny,Yes,Yes,3.9,10190352,-16.5,Normal Traffic,22-12-2025,01-06-2025
VS000323,MP027,2023,11,November,Autumn,11008,344,11352,5908,5444,633,715,1043,2942,8410,3.1,718.44,Rainy,Yes,Yes,4.2,8155730.88,-18.9,Rain Affected,21-03-2024,07-11-2025
VS000324,MP027,2025,12,December,Winter,15965,848,16813,8507,8306,2010,956,1899,4855,11958,2.5,716.39,Sunny,No,No,4.3,12044665.07,8,New Year Rush,21-01-2025,25-02-2025
VS000325,MP028,2024,1,January,Winter,12302,336,12638,6333,6305,1445,1247,1815,3342,9296,4.4,814.4,Windy ,Yes,No,4.2,10292387.2,-14.8,Winter Vacation ,18-09-2024,22-10-2025
VS000326,MP028,2025,2,February,Winter,14035,494,14529,7776,6753,1546,1045,2179,3716,10813,4.1,726.54,Windy,No,No,3.9,10555899.66,14.2,Festival Crowd,03-10-2024,05-07-2025
VS000327,MP028,2025,3,March,Spring,10367,1263,11630,6390,5240,867,1038,1033,2971,8659,5.6,1083.74,Rainy,Yes,No,4,12603896.2,-15.8,Peak Season,12-12-2023,14-10-2025
VS000328,MP028,2025,4,April,Spring,8179,956,9135,4675,4460,917,608,1125,3016,6119,5.2,954.43,Windy,Yes,No,4.6,8718718.05,-8.6,Off Season,13-06-2023,04-09-2025
VS000329,MP028,2023,5,May,Summer,6538,620,7158,3423,3735,603,422,993,1983,5175,5.8,1125.82,Foggy,Yes,No,4.3,8058619.56,31.7,Festival Crowd,20-01-2025,03-06-2025
VS000330,MP028,2024,6,June,Summer,6307,252,6559,3116,3443,680,318,867,2404,4155,4.6,745.61,Foggy,Yes,No,3.9,4890455.99,-15.1,Normal Traffic,15-01-2024,02-06-2025
VS000331,MP028,2023,7,July,Monsoon,4546,120,4666,2398,2268,502,387,697,1315,3351,2.1,668.15,Windy,No,No,4.2,3117587.9,13.8,Rain Affected,02-07-2023,17-11-2025
VS000332,MP028,2023,8,August,Monsoon,4052,203,4255,2164,2091,448,372,617,1086,3169,5.4,653.79,Clear,Yes,No,4.2,2781876.45,-15.2,Heavy Rain,19-11-2023,02-12-2025
VS000333,MP028,2023,9,September,Monsoon,6998,700,7698,4212,3486,539,421,831,2953,4745,5.6,520.75,Sunny,No,No,4.5,4008733.5,5.9,Off Season,22-08-2025,13-06-2025
VS000334,MP028,2023,10,October,Autumn,10906,1587,12493,6266,6227,1117,1004,1648,3125,9368,3.9,973.91,Foggy,No,Yes,4.8,12167057.63,-8.8,Festival Crowd,11-09-2023,21-01-2025
VS000335,MP028,2025,11,November,Autumn,13030,727,13757,7075,6682,1073,1232,1673,4684,9073,3.4,560.56,Sunny,Yes,No,4.4,7711623.92,27,Off Season,07-10-2023,22-12-2025
VS000336,MP028,2023,12,December,Winter,16466,1687,18153,8871,9282,1506,1308,2633,5495,12658,5.8,761.24,Foggy,No,No,4.3,13818789.72,-9.3,New Year Rush,11-02-2024,23-04-2025
VS000337,MP029,2023,1,January,Winter,15460,407,15867,8115,7752,1129,1087,1870,6252,9615,1.7,533.52,Foggy,No,No,4.3,8465361.84,12.1,New Year Rush,14-06-2023,20-10-2025
VS000338,MP029,2023,2,February,Winter,12910,307,13217,6590,6627,833,1313,1861,4975,8242,4.5,819.74,Foggy,No,No,4.8,10834503.58,30.7,Normal Traffic,01-08-2025,09-10-2025
VS000339,MP029,2025,3,March,Spring,12775,1861,14636,7176,7460,957,1038,1382,3666,10970,3.3,1157.77,Foggy,Yes,Yes,4.5,16945121.72,-13.5,Festival Crowd,05-02-2024,12-04-2025
VS000340,MP029,2025,4,April,Spring,11481,1516,12997,6516,6481,758,1054,1689,4035,8962,2.8,707.91,Cloudy,Yes,No,3.9,9200706.27,32.5,Rain Affected,05-03-2024,25-06-2025
VS000341,MP029,2023,5,May,Summer,6903,381,7284,3673,3611,769,371,769,1832,5452,6,422.76,Windy,No,No,4,3079383.84,-15.8,Normal Traffic,25-11-2025,20-07-2025
VS000342,MP029,2024,6,June,Summer,6615,434,7049,3411,3638,668,648,874,2646,4403,3.8,1197.88,Sunny,Yes,No,4.2,8443856.12,26.3,Rain Affected,12-09-2025,10-12-2025
VS000343,MP029,2025,7,July,Monsoon,5263,442,5705,2724,2981,470,527,701,1448,4257,1.7,717.36,Sunny,Yes,No,4.7,4092538.8,26.3,Heavy Rain,14-03-2023,01-11-2025
VS000344,MP029,2023,8,August,Monsoon,5451,725,6176,2879,3297,497,383,693,2413,3763,5.7,536.73,Cloudy,Yes,No,4.3,3314844.48,-19.3,Heavy Rain,25-02-2024,21-11-2025
VS000345,MP029,2024,9,September,Monsoon,6336,848,7184,3859,3325,776,334,787,2130,5054,5.1,1032.51,Cloudy,Yes,No,4,7417551.84,24.3,Normal Traffic,05-02-2024,03-04-2025
VS000346,MP029,2023,10,October,Autumn,9338,466,9804,5351,4453,695,692,1307,2932,6872,6,1163.71,Clear,No,No,4.8,11409012.84,-3.1,Weekend Rush,19-09-2025,10-02-2025
VS000347,MP029,2025,11,November,Autumn,11892,1525,13417,6288,7129,1085,1285,1974,5048,8369,4.6,770.15,Rainy,Yes,No,4.5,10333102.55,22.4,Rain Affected,14-11-2023,06-10-2025
VS000348,MP029,2025,12,December,Winter,14009,984,14993,7576,7417,1434,1437,2130,4630,10363,3.6,666.58,Clear,No,No,4,9994033.94,15.1,Peak Season,18-09-2023,16-12-2025
VS000349,MP030,2023,1,January,Winter,11865,630,12495,6771,5724,1348,1035,1613,4220,8275,3.1,679.54,Clear,Yes,No,4.3,8490852.3,12.2,Winter Vacation,18-09-2024,02-08-2025
VS000350,MP030,2023,2,February,Winter,14750,1443,16193,8361,7832,1368,1106,2195,6431,9762,3,729.2,Windy,No,No,4.1,11807935.6,-14.5,Festival Crowd,05-06-2025,10-12-2025
VS000351,MP030,2024,3,March,Spring,11672,1537,13209,6996,6213,673,1054,1663,4392,8817,5.1,507.44,Rainy,No,No,4.3,6702774.96,-2.8,Holiday Rush,20-04-2025,13-12-2025
VS000352,MP030,2025,4,April,Spring,10061,644,10705,5074,5631,926,795,1307,3754,6951,4.3,1118.47,Cloudy,No,Yes,4,11973221.35,-14.4,Weekend Rush,07-11-2024,24-10-2025
VS000353,MP030,2023,5,May,Summer,6736,161,6897,3768,3129,527,528,597,2064,4833,3.9,1174.08,Cloudy,Yes,No,4.9,8097629.76,-18,Peak Season,20-08-2023,07-03-2025
VS000354,MP030,2024,6,June,Summer,5892,273,6165,3224,2941,608,295,818,1965,4200,4.7,577.51,Clear,Yes,No,4.6,3560349.15,18.6,Off Season,01-09-2024,24-08-2025
VS000355,MP030,2023,7,July,Monsoon,4908,127,5035,2669,2366,474,237,598,1869,3166,5.3,574.32,Cloudy,No,No,4.8,2891701.2,17.9,Monsoon Season,19-08-2025,23-07-2025
VS000356,MP030,2023,8,August,Monsoon,4512,169,4681,2523,2158,421,467,459,1261,3420,5.8,610.44,Foggy,Yes,No,3.9,2857469.64,21.3,Heavy Rain,13-04-2024,05-02-2025
VS000357,MP030,2025,9,September,Monsoon,5747,754,6501,3246,3255,558,460,837,2370,4131,3.8,1074.33,Clear,No,No,4.7,6984219.33,-0.6,Off Season,01-03-2024,25-01-2025
VS000358,MP030,2025,10,October,Autumn,9352,656,10008,4638,5370,884,566,1405,3330,6678,3,417.43,Sunny,Yes,No,4.8,4177639.44,29.4,Normal Traffic,06-09-2024,02-02-2025
VS000359,MP030,2024,11,November,Autumn,10204,400,10604,5572,5032,1230,834,1013,3853,6751,1.5,710.91,Cloudy,No,No,4.2,7538489.64,24.5,Normal Traffic,12-06-2024,14-11-2025
VS000360,MP030,2025,12,December,Winter,15584,1913,17497,9089,8408,1425,743,2175,4596,12901,3.4,509.53,Foggy,No,No,3.9,8915246.41,21.1,New Year Rush,19-05-2025,06-08-2025
VS000361,MP031,2024,1,January,Winter,16170,848,17018,8443,8575,1515,1227,1651,5083,11935,4.1,1015.87,Cloudy,Yes,No,4.3,17288075.66,26.7,New Year Rush,23-06-2025,17-02-2025
VS000362,MP031,2023,2,February,Winter,13873,1010,14883,8103,6780,1683,918,2059,4863,10020,3.1,844.42,Cloudy,No,No,4.6,12567502.86,10.2,Peak Season,01-11-2024,07-01-2025
VS000363,MP031,2025,3,March,Spring,12227,524,12751,6820,5931,1145,547,1821,5038,7713,3.3,462.83,Cloudy,No,No,4.8,5901545.33,17.1,Normal Traffic,24-04-2025,10-01-2025
VS000364,MP031,2023,4,April,Spring,11255,269,11524,5440,6084,681,929,1525,3395,8129,5.1,1093.94,Clear,Yes,Yes,4.3,12606564.56,34.1,Normal Traffic,15-12-2024,19-04-2025
VS000365,MP031,2023,5,May,Summer,6204,171,6375,3338,3037,509,312,955,2395,3980,5.7,1189.68,Cloudy,Yes,No,3.9,7584210,10.1,Holiday Rush,02-07-2025,23-10-2025
VS000366,MP031,2024,6,June,Summer,6418,711,7129,3615,3514,437,430,860,2557,4572,2.8,683.54,Cloudy,No,No,4.1,4872956.66,-15,Festival Crowd,21-07-2023,18-03-2025
VS000367,MP031,2025,7,July,Monsoon,5148,172,5320,2701,2619,324,500,583,1801,3519,1.6,1176.99,Cloudy,Yes,No,4.4,6261586.8,-0.7,Monsoon Season,11-12-2023,14-11-2025
VS000368,MP031,2025,8,August,Monsoon,4369,224,4593,2088,2505,240,192,494,1572,3021,3.1,787.25,Rainy,Yes,No,4.5,3615839.25,-16.8,Monsoon Season,25-03-2024,06-11-2025
VS000369,MP031,2024,9,September,Monsoon,6283,304,6587,3467,3120,537,462,570,1700,4887,5.2,952.35,Clear,No,No,3.9,6273129.45,-9.3,Normal Traffic,19-05-2023,01-04-2025
VS000370,MP031,2023,10,October,Autumn,9402,276,9678,4675,5003,717,638,790,2764,6914,2.4,441.55,Foggy,No,No,4.7,4273320.9,-0.9,Holiday Rush,11-09-2023,15-01-2025
VS000371,MP031,2023,11,November,Autumn,13735,1973,15708,7887,7821,1495,631,1439,6029,9679,4,1128.45,Windy,Yes,Yes,4.3,17725692.6,-3.8,Holiday Rush,09-08-2025,24-12-2025
VS000372,MP031,2024,12,December,Winter,12262,1193,13455,7092,6363,733,720,1528,4332,9123,2.4,938.19,Windy,No,No,4.8,12623346.45,-15,New Year Rush,04-07-2025,24-08-2025
VS000373,MP032,2023,1,January,Winter,16756,686,17442,8316,9126,1952,1469,2238,5607,11835,2.1,556.45,Cloudy,No,No,4.5,9705600.9,5.4,New Year Rush,06-02-2024,21-03-2025
VS000374,MP032,2025,2,February,Winter,13972,1882,15854,7142,8712,1438,1540,1381,5955,9899,4.3,424.11,Cloudy,Yes,No,4.5,6723839.94,0.5,Off Season,21-11-2025,25-10-2025
VS000375,MP032,2023,3,March,Spring,10019,1123,11142,5921,5221,968,766,1532,3180,7962,4.7,1149.97,Sunny,No,No,4.1,12812965.74,-8.9,Festival Crowd,06-08-2024,24-12-2025
VS000376,MP032,2024,4,April,Spring,11841,1148,12989,6442,6547,1541,840,1269,3882,9107,5.4,1010.46,Cloudy,No,Yes,4.4,13124864.94,-9.5,Off Season,16-11-2025,04-09-2025
VS000377,MP032,2025,5,May,Summer,6416,694,7110,3655,3455,477,301,739,2414,4696,2.7,820.72,Rainy,No,No,4.7,5835319.2,24.7,Peak Season,10-12-2025,09-08-2025
VS000378,MP032,2025,6,June,Summer,5177,460,5637,2778,2859,458,453,799,1934,3703,2.3,852.47,Clear,No,No,4.5,4805373.39,12.4,Weekend Rush,15-03-2025,12-07-2025
VS000379,MP032,2024,7,July,Monsoon,4943,457,5400,2600,2800,291,345,454,1656,3744,5.4,550.37,Cloudy,Yes,No,4.6,2971998,11.2,Rain Affected,20-05-2024,01-04-2025
VS000380,MP032,2023,8,August,Monsoon,5382,311,5693,2710,2983,375,255,469,2034,3659,3.8,483.62,Rainy,No,No,4.4,2753248.66,-6.6,Rain Affected,05-10-2025,04-07-2025
VS000381,MP032,2025,9,September,Monsoon,5657,425,6082,3332,2750,444,476,697,1588,4494,3.5,872.09,Foggy,No,No,4,5304051.38,-7.7,Peak Season,03-02-2024,22-05-2025
VS000382,MP032,2023,10,October,Autumn,9105,701,9806,5147,4659,843,771,1210,2453,7353,2,1166.37,Rainy,No,Yes,4.3,11437424.22,-12.9,Normal Traffic,05-10-2024,10-05-2025
VS000383,MP032,2023,11,November,Autumn,11511,387,11898,6432,5466,598,998,1597,3882,8016,6,867.04,Sunny,Yes,No,4.7,10316041.92,31.4,Off Season,16-10-2023,18-07-2025
VS000384,MP032,2024,12,December,Winter,12355,250,12605,6835,5770,815,752,1327,4878,7727,2.5,1011.22,Windy,Yes,No,4.5,12746428.1,-5.5,Winter Vacation,02-10-2024,25-03-2025
VS000385,MP033,2025,1,January,Winter,15329,389,15718,7235,8483,1630,1025,2287,4937,10781,1.9,979.95,Foggy,No,No,4,15402854.1,27.4,Peak Season,13-03-2024,23-01-2025
VS000386,MP033,2023,2,February,Winter,14201,1014,15215,7957,7258,1030,1389,1239,4536,10679,5.2,1017.39,Rainy,No,No,4.9,15479588.85,20.8,Normal Traffic,09-01-2025,25-06-2025
VS000387,MP033,2023,3,March,Spring,11239,1481,12720,6268,6452,1374,1192,1648,3547,9173,2.3,913.8,Clear,No,No,4,11623536,22.3,Weekend Rush,14-06-2023,04-06-2025
VS000388,MP033,2025,4,April,Spring,9689,1404,11093,5661,5432,1192,932,1260,3932,7161,4.5,699.54,Foggy,No,No,4.5,7759997.22,25,Festival Crowd,15-06-2023,20-09-2025
VS000389,MP033,2025,5,May,Summer,5886,504,6390,3193,3197,349,363,839,1923,4467,3.3,917.24,Windy,No,No,4.8,5861163.6,-12,Normal Traffic,08-04-2023,06-11-2025
VS000390,MP033,2025,6,June,Summer,6794,421,7215,3449,3766,686,493,1023,2185,5030,3,639.59,Windy,No,No,4.3,4614641.85,7.2,Rain Affected,01-03-2025,20-11-2025
VS000391,MP033,2023,7,July,Monsoon,5431,285,5716,2637,3079,569,432,832,1737,3979,3.2,1180.75,Sunny,No,No,4.8,6749167,-14.7,Monsoon Season,02-01-2025,16-12-2025
VS000392,MP033,2024,8,August,Monsoon,5322,738,6060,2729,3331,524,449,555,2341,3719,4.6,517.16,Clear,No,No,4.6,3133989.6,22.2,Monsoon Season,11-11-2024,13-09-2025
VS000393,MP033,2023,9,September,Monsoon,5602,403,6005,3004,3001,537,430,761,1763,4242,1.9,505.56,Clear,Yes,No,3.9,3035887.8,-12.4,Rain Affected,03-03-2023,25-01-2025
VS000394,MP033,2025,10,October,Autumn,10463,347,10810,5282,5528,894,480,1414,3489,7321,3.1,1088.61,Cloudy,Yes,Yes,4.3,11767874.1,-8.6,Festival Crowd,05-06-2024,13-10-2025
VS000395,MP033,2024,11,November,Autumn,10640,1581,12221,6124,6097,1338,1205,1543,4646,7575,5.9,1166.12,Rainy,No,Yes,4.4,14251152.52,16.2,Normal Traffic,12-02-2025,03-04-2025
VS000396,MP033,2024,12,December,Winter,13773,2059,15832,7840,7992,1078,923,1523,6117,9715,5.3,709.01,Cloudy,Yes,No,4.4,11225046.32,13.3,Winter Vacation,06-02-2024,22-12-2025
VS000397,MP034,2025,1,January,Winter,15309,1198,16507,8740,7767,1944,825,1635,6310,10197,2.2,918.58,Foggy,Yes,No,4,15163000.06,19.7,Winter Vacation,02-03-2023,21-05-2025
VS000398,MP034,2025,2,February,Winter,10997,666,11663,6010,5653,1213,704,1250,3358,8305,5.1,1013.65,Windy,No,No,4.1,11822199.95,-17.3,Festival Crowd,15-09-2025,13-02-2025
